measure,measure_order,analysis_unit,term_role,target_group,frame_stratum,year_basis,index_name,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared,source_path
Salience,1,frustration,baseline,baseline,source_year_salience,source year,primary_salience_per_million_tokens,13,2020.0,1.0802792573591449,-0.0175171433453399,0.0167451745370165,0.3179575277050133,0.0904826882859101,0.0077992963119019,-0.3008034047112996,0.9253970094174092,0.3839598496003871,True,0.015956947232762,0.5383152855645501,0.7251639727618664,0.7173646764499645,data/processed/lsc/salience/salience_trend_models.csv
Salience,1,loneliness,baseline,baseline,source_year_salience,source year,primary_salience_per_million_tokens,13,2020.0,0.3235030916412696,0.0055800894224278,0.0021091735138523,0.022763343623034,0.3888668139317174,0.3333092515618735,0.6235918648697377,2.167815244172941,-0.1605346684181767,False,,,0.267194439783777,-0.0661148117780965,data/processed/lsc/salience/salience_trend_models.csv
Salience,1,sadness,baseline,baseline,source_year_salience,source year,primary_salience_per_million_tokens,13,2020.0,0.5205483022278663,-0.017071955845521,0.0038761892808566,0.0010556144996661,0.6381339017847365,0.6052369837651671,-0.7988328371973301,1.80370608039096,-0.0007196224447244,False,,,0.6730940909187891,0.067857107153622,data/processed/lsc/salience/salience_trend_models.csv
Salience,1,ADHD,target,ADHD,source_year_salience,source year,primary_salience_per_million_tokens,13,2020.0,0.3663712511001004,0.0072719134181213,0.0042857972550465,0.1178238325602975,0.2074328509430826,0.1353812919379083,0.4554479673278634,1.8657989178878571,-0.1631482603224107,False,,,0.1826581070058079,0.0472768150678996,data/processed/lsc/salience/salience_trend_models.csv
Salience,1,Autism,target,Autism,source_year_salience,source year,primary_salience_per_million_tokens,13,2020.0,0.8104729394372241,-0.0228065030647209,0.0087190741526719,0.024012020980657,0.3834736976577146,0.3274258519902342,-0.6192525314100175,1.6743744687167526,0.0147802015087929,False,,,0.4627858827349854,0.1353600307447512,data/processed/lsc/salience/salience_trend_models.csv
Sentiment,2,frustration,baseline,baseline,unframed_baseline,publication year,valence_mean,13,2020.0,0.0618931431613109,0.0022871710893447,0.0007886378048339,0.0144411396496568,0.4333078930501645,0.3817904287819975,0.6582612650385593,0.3996094444262698,0.7527011255743579,True,0.0071579422843558,0.0027281297472097,0.8898030527838704,0.5080126240018729,data/processed/lsc/sentiment/lsc_sentiment_trend_models.csv
Sentiment,2,loneliness,baseline,baseline,unframed_baseline,publication year,valence_mean,13,2020.0,0.0277468500483994,0.0024530774916871,0.000826503622844,0.0127905999342633,0.444700495215208,0.3942187220529543,0.6668586770937364,0.9152638009401408,0.330683101676873,True,0.0038886878771433,0.0097025301767954,0.812831874339061,0.4186131522861067,data/processed/lsc/sentiment/lsc_sentiment_trend_models.csv
Sentiment,2,sadness,baseline,baseline,unframed_baseline,publication year,valence_mean,13,2020.0,0.0328755028541031,-0.0016037652851731,0.00051231646946,0.0095704994149974,0.4711417443029717,0.4230637210577873,-0.6863976575593567,1.7686430286606558,0.0876673216311822,False,,,0.4081825278598108,-0.0148811931979765,data/processed/lsc/sentiment/lsc_sentiment_trend_models.csv
Sentiment,2,ADHD,target,ADHD,clinical_only,publication year,valence_mean,13,2020.0,0.0515451157882372,0.0004271431083429,0.0008650491617936,0.6311734153351155,0.0216846008543474,-0.0672531627043482,0.1472569212442902,1.2196060829357076,0.3267086625147233,True,0.0014639877307861,0.2945302781829223,0.536657570691743,0.6039107333960912,data/processed/lsc/sentiment/lsc_sentiment_trend_models.csv
Sentiment,2,ADHD,target,ADHD,lived_only,publication year,valence_mean,13,2020.0,0.1156521123183389,0.0003417783142377,0.0009026790803624,0.71217102282469,0.0128648925682981,-0.0768746626527656,0.1134235097689095,2.6933600826378954,-0.760777595229555,False,,,-0.0713195590134341,0.0055551036393315,data/processed/lsc/sentiment/lsc_sentiment_trend_models.csv
