measure,year_basis,target_display,frame_display,term_role,b_se,standardized_beta_year,standardized_beta_display,linear_adj_r_squared,adj_r_squared_display,linear_slope_per_year,linear_slope_se,linear_p_value,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_delta_adj_r_squared
Salience,source year,ADHD,Overall,target,0.0073 (0.0043),0.4554479673278634,0.46,0.1353812919379083,0.14,0.0072719134181213,0.0042857972550465,0.1178238325602975,False,,,0.0472768150678996
Salience,source year,Autism,Overall,target,-0.0228* (0.0087),-0.6192525314100175,-0.62,0.3274258519902342,0.33,-0.0228065030647209,0.0087190741526719,0.024012020980657,False,,,0.1353600307447512
Sentiment,publication year,ADHD,Overall,target,0.0023^dagger (0.0014),0.4608314221961158,0.46,0.140762472381776,0.14,0.002329942137577,0.0013529104364363,0.1129995263488931,True,0.0037487220739576,0.1473072861626688,0.2892787489865633
Sentiment,publication year,ADHD,Clinical,target,0.0013^dagger (0.0015),0.239663402037414,0.24,-0.0282488586078393,-0.03,0.0012510742992895,0.0015280581363269,0.4303181855811425,True,0.0035506902040281,0.2175871897353183,0.6032988371317877
Sentiment,publication year,ADHD,Lived experience,target,0.0002 (0.0017),0.0314791871019275,0.03,-0.0898280663048023,-0.09,0.0001781426395509,0.001705425471461,0.9186874275992002,False,,,-0.0440466906269372
Sentiment,publication year,Autism,Overall,target,0.0012 (0.0006),0.5018806200988867,0.50,0.1838736256336465,0.18,0.0011655584578426,0.0006056499946391,0.0805386593586282,False,,,0.0982452052778977
Sentiment,publication year,Autism,Clinical,target,0.0022^dagger (0.0015),0.418905265702281,0.42,0.1005254054179259,0.10,0.0022499277325841,0.0014704713825556,0.1542342869384911,True,0.0051821029437705,0.0396950298085043,0.6463201952804345
Sentiment,publication year,Autism,Lived experience,target,-0.0038 (0.0022),-0.4598038346379695,-0.46,0.1397304360157613,0.14,-0.0038293609139602,0.0022298742235686,0.1139099291587503,False,,,0.0408903793354297
Intensity,publication year,ADHD,Overall,target,0.0001 (0.0005),0.0389108922471281,0.04,-0.0892573917794896,-0.09,6.539854031933056e-05,0.0005063741187946,0.8995696776713757,False,,,0.1658642475343459
Intensity,publication year,ADHD,Clinical,target,0.0002 (0.0006),0.1027015734146266,0.10,-0.0794026038016288,-0.08,0.0002121324778678,0.0006194855426192,0.7384785139815639,False,,,0.0582142229170596
Intensity,publication year,ADHD,Lived experience,target,0.0015 (0.0009),0.4496279462762864,0.45,0.1296348618974157,0.13,0.0014961918261251,0.000896177635722,0.1231926227234267,False,,,-0.0650560852900244
Intensity,publication year,Autism,Overall,target,0.0011 (0.0008),0.362922504077135,0.36,0.052777538871583,0.05,0.0010924032024318,0.0008456768394647,0.2229248270527008,False,,,-0.0807346756573369
Intensity,publication year,Autism,Clinical,target,0.0010* (0.0004),0.5572214534233095,0.56,0.2478135434420206,0.25,0.000985721661208,0.0004428927828165,0.0478901111576847,False,,,0.2108355876792543
Intensity,publication year,Autism,Lived experience,target,0.0025 (0.0021),0.3428229372788024,0.34,0.0373027996266895,0.04,0.0025414947778987,0.0020997789684581,0.2515057215226688,False,,,0.0165202038447737
Breadth,publication year,ADHD,Overall,target,-0.0020*** (0.0003),-0.8907894375453322,-0.89,0.7747336240461775,0.77,-0.0020374913440721,0.0003133850514806,4.418269425540856e-05,False,,,-0.0029817418945636
Breadth,publication year,ADHD,Clinical,target,-0.0018*** (0.0003),-0.8479158629312358,-0.85,0.6934123388477325,0.69,-0.0017869136367948,0.0003368507480465,0.0002505728950628,False,,,-0.029087498032155
Breadth,publication year,ADHD,Lived experience,target,-0.0004^dagger (0.0006),-0.1781916363613416,-0.18,-0.0562702626154916,-0.06,-0.0003664272929007,0.0006100949098967,0.5602728599395381,True,-0.0004368629232569,0.2469335465122979,-0.1056270082185988
Breadth,publication year,Autism,Overall,target,0.0001^dagger (0.0002),0.1445874377981378,0.14,-0.0681030612701485,-0.07,0.0001187171607088,0.0002449620999605,0.6374416078577795,True,-0.0001331852011732,0.7526593741759209,0.5788777796151876
Breadth,publication year,Autism,Clinical,target,0.0007*^dagger (0.0003),0.5834760435975256,0.58,0.2804846837660598,0.28,0.0007494536713758,0.0003145220955337,0.0363187483199891,True,0.0001568265819714,0.7547916302192499,0.508861400769264
Breadth,publication year,Autism,Lived experience,target,-0.0010* (0.0004),-0.6017106972717299,-0.60,0.3040608325940703,0.30,-0.0010404425140852,0.0004164140495755,0.0295811024949785,False,,,0.1563032133647336
