row_type,track,year,year_count,year_range,batch_count,instance_type,wet_records_scanned,wet_validated_hits,warc_validated_hits,final_documents,target_unique_documents,adhd_membership_documents,autism_membership_documents,adhd_only_documents,autism_only_documents,adhd_autism_overlap_documents,total_elapsed_hours,hours_per_million_wet_records,throughput_observed_wet_records_scanned,throughput_observed_year_count,throughput_complete,wet_elapsed_hours,warc_elapsed_hours,document_quality_elapsed_hours,warc_fetch_success_rate_pct,warc_extract_success_rate_pct,report_note
track_total,corpus,,13,2014-2026,108,m7i-flex.large,220017831,1354386,632110,336178,87173,31354,67614,19559,55819,11795,0.0,,0,0,False,0.0,0.0,0.0,,,Quality-gated corpus track.
year,corpus,2014,,,6,m7i-flex.large,16312777,100144,45220,24123,6672,2248,5210,1462,4424,786,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2015,,,8,m7i-flex.large,21279168,114891,52060,27537,7344,2307,5851,1493,5037,814,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2016,,,6,m7i-flex.large,17442966,135732,64432,34603,8057,2495,6417,1640,5562,855,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2017,,,8,m7i-flex.large,17750507,106667,48608,25425,6418,2130,5137,1281,4288,849,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2018,,,10,m7i-flex.large,23615201,140547,62478,31496,8131,2685,6425,1706,5446,979,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2019,,,6,m7i-flex.large,13124483,85640,41843,21414,6571,2598,5216,1355,3973,1243,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2020,,,6,m7i-flex.large,15020484,100738,43639,22084,5991,2218,4698,1293,3773,925,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2021,,,8,m7i-flex.large,19289380,125829,56176,29262,7419,2704,5722,1697,4715,1007,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2022,,,8,m7i-flex.large,16911362,107091,48710,26933,6799,2643,5088,1711,4156,932,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2023,,,8,m7i-flex.large,15238078,85554,40897,22550,5765,2341,4187,1578,3424,763,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2024,,,10,m7i-flex.large,15132655,83076,40748,22138,5580,2278,4105,1475,3302,803,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2025,,,12,m7i-flex.large,16084126,90347,45569,25496,7477,2547,5905,1572,4930,975,,,,0,False,,,,,,Annual accepted collection output.
year,corpus,2026,,,12,m7i-flex.large,12816644,78130,41730,23117,4949,2160,3653,1296,2789,864,,,,0,False,,,,,,Annual accepted collection output.
track_total,trend,,13,2014-2026,13,m7i-flex.large,55648537,329733,156189,,,,,,,,22.541,0.428,52621839,12,False,4.729,12.07,5.741,0.0,0.0,Fixed-effort annual trend track.
year,trend,2014,,,1,m7i-flex.large,5349060,29182,13918,,,,,,,,0.0,0.0,5349060,1,True,0.0,0.0,0.0,0.0,0.0,Annual accepted collection output.
year,trend,2015,,,1,m7i-flex.large,5291648,25203,11898,,,,,,,,2.134,0.403,5291648,1,True,0.342,1.16,0.631,99.048,42.918,Annual accepted collection output.
year,trend,2016,,,1,m7i-flex.large,5760599,40044,19945,,,,,,,,3.389,0.588,5760599,1,True,0.569,1.465,1.355,99.855,46.397,Annual accepted collection output.
year,trend,2017,,,1,m7i-flex.large,4435233,25351,11828,,,,,,,,1.878,0.423,4435233,1,True,0.487,0.951,0.44,98.792,44.483,Annual accepted collection output.
year,trend,2018,,,1,m7i-flex.large,4702862,26406,12086,,,,,,,,1.768,0.376,4702862,1,True,0.446,0.928,0.394,99.794,43.409,Annual accepted collection output.
year,trend,2019,,,1,m7i-flex.large,4377625,28262,13847,,,,,,,,2.458,0.561,4377625,1,True,0.429,1.134,0.894,99.93,47.851,Annual accepted collection output.
year,trend,2020,,,1,m7i-flex.large,5040987,32802,14117,,,,,,,,2.53,0.502,5040987,1,True,0.579,1.389,0.562,99.985,42.498,Annual accepted collection output.
year,trend,2021,,,1,m7i-flex.large,4818457,30804,13996,,,,,,,,2.806,0.582,4818457,1,True,0.536,1.792,0.479,99.336,45.173,Annual accepted collection output.
year,trend,2022,,,1,m7i-flex.large,4217647,26183,11948,,,,,,,,1.845,0.437,4217647,1,True,0.451,1.005,0.388,99.494,45.034,Annual accepted collection output.
year,trend,2023,,,1,m7i-flex.large,3806981,21098,10102,,,,,,,,1.46,0.384,3806981,1,True,0.404,0.778,0.277,98.404,46.177,Annual accepted collection output.
year,trend,2024,,,1,m7i-flex.large,3026698,16253,7943,,,,,,,,,,,0,False,,,,,,Annual accepted collection output.
year,trend,2025,,,1,m7i-flex.large,2684104,15184,7585,,,,,,,,1.32,0.492,2684104,1,True,0.268,0.881,0.171,98.652,49.559,Annual accepted collection output.
year,trend,2026,,,1,m7i-flex.large,2136636,12961,6976,,,,,,,,0.953,0.446,2136636,1,True,0.217,0.586,0.151,97.787,53.052,Annual accepted collection output.
